,Unnamed: 0.1,Unnamed: 0,x,y,frame,track_id,label,channel,z,xres,yres,zres,degree_av_rotation,degree_av_translation
105934,147227,166662,257.9370745829595,321.5454664100363,116,3613,18,w1,0.0,-47.33268332650624,27.378965981000363,0.0,0.0109527341693689,4.309320014902107
105978,148048,167604,257.4024154015958,320.5740014517562,117,3613,18,w1,0.0,-47.44353966235167,27.097599427459897,0.0,0.0109527341693689,4.309320014902107
106000,148444,168049,259.3904520931533,317.06144988231483,118,3613,18,w1,0.0,-45.56965662742073,27.839619523127283,0.0,0.0109527341693689,4.309320014902107
106031,149228,168948,260.3941020268024,313.7883098720954,119,3613,18,w1,0.0,-43.77473600034972,27.722618367129087,0.0,0.0109527341693689,4.309320014902107
106083,150307,170194,260.087137737483,308.30613682028,120,3613,18,w1,0.0,-42.05100911620872,26.872828700125467,0.0,0.0109527341693689,4.309320014902107
106204,152738,172995,264.2520955135908,312.41776576275254,123,3613,18,w1,0.0,-43.50867640460928,28.68695511033241,0.0,0.0109527341693689,4.309320014902107
106233,153271,173615,262.95182946449614,317.44330793498483,124,3613,18,w1,0.0,-45.53440195044038,28.933808002168178,0.0,0.0109527341693689,4.309320014902107
106267,154073,174538,261.42265110107707,317.60493953874374,125,3613,18,w1,0.0,-45.98231848897041,28.883051668349708,0.0,0.0109527341693689,4.309320014902107
106301,154865,175453,262.5148600583841,318.45015622133826,126,3613,18,w1,0.0,-45.416223684578426,29.493387964102965,0.0,0.0109527341693689,4.309320014902107
106342,155679,176396,261.97188555722335,318.9312787068632,127,3613,18,w1,0.0,-45.60888969615149,29.09653610204515,0.0,0.0109527341693689,4.309320014902107
106376,156448,177301,260.8370800066713,316.9123957955824,128,3613,18,w1,0.0,-45.32495693638992,27.81041950518176,0.0,0.0109527341693689,4.309320014902107
106417,157226,178199,260.2498227268458,316.9618773287917,129,3613,18,w1,0.0,-45.28406019828827,26.544801271449444,0.0,0.0109527341693689,4.309320014902107
106494,159286,180618,257.81377816189143,315.1235624564949,131,3613,18,w1,0.0,-45.77678787685147,26.1427942268694,0.0,0.0109527341693689,4.309320014902107
106504,159467,180823,258.1272921585455,317.01229934301733,132,3613,18,w1,0.0,-46.90456371613499,26.760921408390857,0.0,0.0109527341693689,4.309320014902107
106530,160172,181653,257.40066826349045,316.9735915992976,133,3613,18,w1,0.0,-46.961745413211474,27.05322001031783,0.0,0.0109527341693689,4.309320014902107
106555,160845,182448,258.34520943427293,316.4535601359556,134,3613,18,w1,0.0,-46.76666059461979,27.08679521374637,0.0,0.0109527341693689,4.309320014902107
106586,161569,183295,258.8585602027978,317.8668034679416,135,3613,18,w1,0.0,-47.56012328055988,28.334013457978244,0.0,0.0109527341693689,4.309320014902107
106606,162277,184128,258.71489129607573,317.97126576945817,136,3613,18,w1,0.0,-47.81369714981287,27.90228867487059,0.0,0.0109527341693689,4.309320014902107
106634,163129,185124,258.77785045397627,317.55008941974023,137,3613,18,w1,0.0,-48.06943630393715,27.46327488085302,0.0,0.0109527341693689,4.309320014902107
106656,163672,185788,258.5287033010352,317.3547270375323,138,3613,18,w1,0.0,-49.15663631547085,27.7116508080282,0.0,0.0109527341693689,4.309320014902107
106674,164347,186589,257.8861708030377,317.3596113525747,139,3613,18,w1,0.0,-49.0938618439385,27.52009378509604,0.0,0.0109527341693689,4.309320014902107
106699,165021,187385,257.5351758668804,318.52042698737193,140,3613,18,w1,0.0,-50.21467667042685,28.331707059577923,0.0,0.0109527341693689,4.309320014902107
106720,165707,188212,256.8500618476401,318.1526061017959,141,3613,18,w1,0.0,-50.15642805105711,28.152077303636133,0.0,0.0109527341693689,4.309320014902107
106742,166357,188980,256.8262870960548,317.778547616217,142,3613,18,w1,0.0,-50.84258149625936,28.349520758398057,0.0,0.0109527341693689,4.309320014902107
106772,166971,189710,257.2827375438593,317.99796914826624,143,3613,18,w1,0.0,-50.325438810062735,28.3448621049194,0.0,0.0109527341693689,4.309320014902107
106794,167625,190504,257.04548231174954,317.13380216437184,144,3613,18,w1,0.0,-50.06317727861836,28.03207958460331,0.0,0.0109527341693689,4.309320014902107
106818,168261,191269,257.04153153404377,316.72573497156134,145,3613,18,w1,0.0,-49.8840451856143,28.36972886419585,0.0,0.0109527341693689,4.309320014902107
106848,169008,192170,256.1904479189463,316.86806612697774,146,3613,18,w1,0.0,-49.36338682250761,27.709882959241952,0.0,0.0109527341693689,4.309320014902107
106872,169536,192805,256.7861067496696,315.6884834884572,147,3613,18,w1,0.0,-48.62448204028743,27.869959253845764,0.0,0.0109527341693689,4.309320014902107
106905,170638,194135,256.2500614439928,317.81148673822776,148,3613,18,w1,0.0,-49.153175883519225,27.756555285113905,0.0,0.0109527341693689,4.309320014902107
106916,170928,194480,256.6285290357201,316.605324757462,149,3613,18,w1,0.0,-49.678493298192336,27.749815056078543,0.0,0.0109527341693689,4.309320014902107
106982,172542,196421,259.5905462180496,315.3289508974076,151,3613,18,w1,0.0,-48.7619331971901,29.102194837289005,0.0,0.0109527341693689,4.309320014902107
107033,173849,197969,252.41532809904356,314.6803987880842,153,3613,18,w1,0.0,-50.40203101587255,26.994103266675097,0.0,0.0109527341693689,4.309320014902107
107054,174227,198413,250.35339842803543,312.00535947935896,154,3613,18,w1,0.0,-48.52005945908701,25.752300902263585,0.0,0.0109527341693689,4.309320014902107
107134,176021,200564,249.88194406123068,317.8356621676402,157,3613,18,w1,0.0,-51.72605540786418,27.192473685130096,0.0,0.0109527341693689,4.309320014902107
107235,178429,203502,251.61264737423107,322.09903927606064,161,3613,18,w1,0.0,-55.26042266026843,28.529872369571702,0.0,0.0109527341693689,4.309320014902107
107254,178878,204064,252.8139410706083,319.97422300325246,162,3613,18,w1,0.0,-53.78577075511291,29.30041505812676,0.0,0.0109527341693689,4.309320014902107
107324,180589,206160,251.94710609217745,315.26706090827383,165,3613,18,w1,0.0,-52.27017849588981,27.747744316085345,0.0,0.0109527341693689,4.309320014902107
107389,182225,208170,251.47949453332208,310.69828806356185,168,3613,18,w1,0.0,-49.56973426659371,25.754207900584504,0.0,0.0109527341693689,4.309320014902107
107408,182498,208485,245.81930828820325,308.826533573859,169,3613,18,w1,0.0,-49.156719083526895,22.10989262985686,0.0,0.0109527341693689,4.309320014902107
